File,H2O_ppmv,CO2_ppmv,CO_ppmv,NO_ppmv,NO2_ppmv,NH3_ppmv,CH4_ppmv
20250514_TEST_001_DIESEL_EXTENDED_R4_1570.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1571.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1572.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1573.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1574.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1575.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1576.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1577.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1578.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1579.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1580.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1581.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1582.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1583.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1584.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1585.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1586.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1587.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1588.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1589.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1590.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1591.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1592.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1593.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1594.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1595.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1596.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1597.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1598.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1599.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1600.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1601.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1602.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1603.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1604.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1605.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1606.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1607.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1608.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1609.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1610.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1611.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1612.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1613.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1614.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1615.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1616.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1617.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1618.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1619.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250514_TEST_001_DIESEL_EXTENDED_R4_1620.spc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
