species,count,min,median,max,is_sparse_class,staging,test,train,val
C2H4,20,9.74,198.7,3000.0,False,0,3,14,3
C2H6,19,100.31,550.56,1000.0,False,0,3,13,3
C2H6O,13,100.0,1000.0,10000.0,False,0,2,9,2
CH4,109,14.6,970.0,108400.0,False,0,17,76,16
CO,89,19.0,3325.0,100000.0,False,0,14,62,13
CO2,69,3230.0,41818.4,406500.0,False,0,11,48,10
Diesel,12,29.0,450.5,4500.0,False,0,2,8,2
H2O,12,20300.0,164300.0,380000.0,False,0,2,8,2
HCN,11,12.1,49.6,99.2,False,0,1,8,2
HNCO,13,14.2,89.0,394.0,False,0,2,9,2
N2O,52,1.0,190.8075,2002.0,False,0,8,36,8
NH3,59,10.7,200.09,2995.0,False,0,9,41,9
NO,46,18.6,1050.75,10200.0,False,0,7,32,7
NO2,24,21.8,149.755,1819.81,False,0,3,17,4
Biodiesel,4,20.0,150.0,500.0,True,4,0,0,0
CH4N2O,1,89.0,89.0,89.0,True,1,0,0,0
H2SO4,1,55.3,55.3,55.3,True,1,0,0,0
HNO3,1,700.0,700.0,700.0,True,1,0,0,0
Unknown,1,20.7,20.7,20.7,True,1,0,0,0
